"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Canada","Olivemark, Esaias","1637329","4","-13","3","0","0","46.9","17","13","4","24","-53","12","6","1","6","0","8","16","4","75","1","6","0","2","16","0","0","0","0","0","0","0","-24.1","","0","0","0","6","0","0","2","16","0","0","1","0","0","1","46.9","45.3","0","0","4","0","0","4","0","0","1","2","0","3","0","0","4","2","0","6","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","3","7","14","14","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Canada","Bjernegĺrd, Rickard","1637332","2","-4","6","0","0","52.1","8","6","2","25","-50","2","1","0","1","1","50","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","-4.6","","0","0","1","1","0","0","0","12","0","0","0","0","0","0","52.1","46.3","0","0","4","1","0","5","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","4","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Canada","Reilly, Albin","1637334","0","-4","0","0","0","0","0","0","0","0","0","9","6","0","3","0","0","22","4","82","1","5","0","0","0","0","0","1","0","0","0","1","-0.4","","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","10","11","7","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Kowalski, Anatol","2003112","9","9","6","0","0","62","0","0","0","0","0","7","3","2","4","3","71","0","0","0","1","0","9","27","31","25","0","31","28","0","3","0","30.6","","2","2","0","0","1","2","27","31","8","1","21","1","0","6","62","54.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","5","1","31","3","14","20","18","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Flynn, Scott","1745322","16","15","20","0","5","71","8","1","7","88","75","3","0","0","3","1","33","7","0","100","6","86","4","28","31","0","0","0","0","0","0","0","45.1","","1","2","0","0","0","1","28","31","3","0","23","1","0","5","74.7","58.6","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","4","0","0","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","3","14","16","8","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Bobrovnický, Koloman","2003592","24","24","11","0","4","68.1","4","0","4","100","100","3","1","0","2","2","67","0","0","0","0","0","16","34","36","0","0","0","0","0","0","0","68.8","","0","0","0","0","2","2","34","36","12","1","23","4","1","11","68.8","60.6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","12","11","10","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Obdržálek, Čeněk","2003510","14","14","8","0","2","0","8","0","8","100","100","1","1","0","0","0","0","0","0","0","0","0","4","23","29","0","0","0","0","0","0","0","34","","0","0","0","0","0","0","23","29","3","0","13","1","1","10","67.2","55.2","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","3","8","9","3","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Jackson, Lucas","2002340","11","6","10","1","1","57.4","13","4","8","62","31","3","1","0","2","2","67","7","0","100","6","86","2","18","29","0","0","0","0","0","0","0","30.2","","0","0","0","0","2","2","18","29","2","0","10","0","0","8","57.4","50.5","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","7","0","0","0","0","0","0","3","2","0","0","1","6","0","0","0","0","0","0","3","7","10","13","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Kosatka, Piotr","1903729","8","7","18","1","3","81.1","3","0","3","100","100","4","1","0","3","0","0","0","0","0","2","0","2","20","24","0","0","0","0","0","0","0","21.6","","0","0","0","0","0","3","20","24","0","1","13","2","3","7","81.6","57.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","9","11","6","0","0","0","0","0"
"International","17825","1093199","international_17825","VK Canada vs VK Chemes Humenné 0:3","2026-05-16 17:00","Stadium FISHT","VK Chemes Humenné","Mogiła, Kacper","2088116","0","-1","0","0","0","0","0","0","0","0","0","6","0","0","6","6","100","7","1","86","5","71","0","0","0","5","0","5","4","0","0","1","4.8","","2","2","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","3","9","5","4","0","0","0","0","0"
"International","17825","1093200","international_17825","Egypt vs Jászberény RC 0:3","2026-05-16 17:00","Egy","Egypt","Minas, Nils-Bertil","1639363","0","0","3","0","0","48.5","1","0","0","0","0","14","7","0","7","0","0","0","0","0","0","0","0","2","17","2","41","61","1","6","22","32","0","","0","0","0","7","0","0","2","17","0","0","0","0","0","2","48.5","46","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","41","10","0","8","61","3","22","22","22","0","0","0","0","0"
"International","17825","1093200","international_17825","Egypt vs Jászberény RC 0:3","2026-05-16 17:00","Egy","Egypt","Kringstad, Israel","1639367","4","-10","3","0","0","51.3","16","10","4","25","-37","7","3","0","4","1","14","27","4","85","1","4","0","2","21","0","0","0","0","0","0","0","-12.4","","0","0","0","3","1","1","2","21","0","0","1","0","0","1","51.3","48.5","0","0","4","0","1","5","0","0","2","4","0","6","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","3","15","17","11","0","0","0","0","0"
"International","17825","1093200","international_17825","Egypt vs Jászberény RC 0:3","2026-05-16 17:00","Egy","Egypt","Pannula, Nicklas","1639370","0","-3","3","0","0","49.4","5","3","0","0","-60","1","1","0","0","0","0","0","0","0","0","0","0","4","18","0","0","0","0","0","0","0","-4.5","","0","0","0","0","0","0","4","18","0","0","2","0","0","2","49.4","48.1","0","0","1","0","2","3","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","3","0","0","0","0","0"
"International","17825","1093200","international_17825","Egypt vs Jászberény RC 0:3","2026-05-16 17:00","Egy","Egypt","Zacco, Leif","1639365","2","-15","4","1","0","41.8","20","16","2","10","-70","12","4","0","8","0","0","0","0","0","0","0","0","1","21","0","0","0","0","0","0","0","-35","","0","1","0","7","0","0","1","21","0","0","1","0","0","0","41.8","41.3","0","0","8","0","0","8","0","0","4","1","0","5","0","0","1","1","1","3","0","0","0","0","0","0","0","0","3","0","1","4","0","0","0","0","0","0","3","8","9","9","0","0","0","0","0"
"International","17825","1093200","international_17825","Egypt vs Jászberény RC 0:3","2026-05-16 17:00","Egy","Egypt","Atia, Pal","1639368","4","-6","3","0","0","48.2","14","8","4","29","-29","16","10","0","6","0","0","21","2","90","0","0","0","1","17","0","0","0","0","0","0","0","-6.2","","0","0","0","6","0","0","1","17","0","0","0","0","0","1","48.2","45.6","0","0","5","0","1","6","0","0","1","4","0","5","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","3","12","10","13","0","0","0","0","0"
