"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Casellato, Oronzo","1649819","2","-25","3","0","0","40.8","11","9","2","18","-64","8","3","0","5","0","0","27","18","33","0","0","0","0","6","0","0","0","0","0","0","0","-54.7","","0","0","0","5","0","0","0","6","0","0","0","0","0","0","40.8","40.6","0","0","4","0","0","4","0","0","1","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","3","13","13","13","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Micalizzi, Danilo","1649822","0","-4","3","1","0","41.2","3","3","0","0","-100","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","-5.5","","0","0","0","0","0","0","0","13","0","0","0","0","0","0","41.2","40.7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Piscitelli, Vittorio","1649817","3","-5","2","0","0","40.5","11","8","3","27","-45","4","2","0","2","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","-15","","0","0","0","2","0","0","0","19","0","0","0","0","0","0","40.5","40.4","0","0","4","0","0","4","0","0","3","2","0","5","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7","2","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Chisari, Danilo","1649820","1","-14","0","0","0","0","5","4","1","20","-60","5","3","0","2","0","0","24","11","54","0","0","0","0","17","0","0","0","0","0","0","0","-20.8","","0","0","0","2","0","0","0","17","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","12","10","8","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Zanzi, Luciano","1649823","0","-7","0","0","0","0","8","7","0","0","-87","3","0","0","3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","-10.5","","0","0","0","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","4","0","1","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","4","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","BOT #131326","Corsini, Ivano","1649825","0","-6","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0","22","6","73","0","0","0","0","0","0","0","0","0","0","0","0","-5.6","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","12","6","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Massarenti, Manfredi","1620487","1","1","1","0","0","46.3","0","0","0","0","0","6","0","0","6","4","67","0","0","0","2","0","1","12","12","17","0","19","19","0","0","0","6.2","","0","0","0","0","4","6","12","12","1","0","8","0","0","4","46.3","46.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","2","0","19","3","6","12","8","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Verola, Gianfranco","1620491","15","15","21","0","8","54","7","0","7","100","100","0","0","0","0","0","0","5","0","100","5","100","0","2","2","0","0","0","0","0","0","0","42","","0","0","0","0","0","0","2","2","0","0","1","0","0","1","55.5","48.3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","6","0","0","0","0","0","0","3","12","11","6","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Marchisio, Angelantonio","1620494","21","21","24","0","12","46.8","3","0","3","100","100","2","0","0","2","2","100","0","0","0","0","0","6","14","14","0","0","0","0","0","0","0","60.8","","0","0","0","0","2","2","14","14","4","0","5","2","0","9","50.6","45.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","11","15","8","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Aliverti, Baldassarre","1620489","19","18","25","0","14","50","4","1","3","75","50","6","0","0","6","4","67","0","0","0","2","0","2","25","26","0","0","0","0","0","0","0","55.7","","1","1","0","0","3","5","25","26","0","0","11","2","0","14","50.8","47.3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","3","12","9","13","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Della Valle, Angelo","1620492","16","15","2","0","1","45.3","6","1","5","83","67","2","0","0","2","1","50","3","0","100","4","133","10","33","36","0","0","0","0","0","0","0","45.1","","0","0","0","0","1","2","33","36","5","0","16","5","3","17","45.3","44.3","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","3","7","6","9","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Verola, Piero","1620495","15","15","0","0","0","54","3","0","3","100","100","2","0","0","2","2","100","0","0","0","0","0","12","23","24","0","0","0","0","0","0","0","42.8","","0","0","0","0","2","2","23","24","8","0","13","4","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","5","8","5","0","0","0","0","0"
"Italy","18736","1065374","italy_18736","BOT #131326 vs SL Quarto 84 0:3","2026-05-16 17:00","","SL Quarto 84","Callegari, Gino","1620497","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","50","1","0","100","2","200","0","0","0","4","0","4","4","0","0","0","2","","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","3","2","2","3","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Odifreddi, Gian","1650079","1","-1","11","2","0","44.3","0","0","0","0","0","18","10","4","8","6","56","0","0","0","0","0","1","15","47","36","14","92","31","32","15","14","6.6","","5","5","1","3","0","0","15","47","0","0","3","1","0","12","44.3","42.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","14","7","11","24","92","3","36","28","30","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Poli, Roberto","1650083","11","1","14","1","0","49.5","24","7","10","42","13","16","9","1","7","3","25","20","2","90","6","30","1","15","53","0","0","0","0","0","0","0","21.7","","2","3","0","1","1","3","15","53","1","0","4","0","2","11","49.5","45.2","1","1","3","0","3","8","2","1","0","2","0","5","3","0","0","0","2","5","0","0","0","0","0","0","2","0","2","0","2","6","0","0","0","0","0","0","3","25","15","19","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Carella, Emilio","1650086","12","4","14","2","2","51.4","12","6","6","50","0","7","4","0","3","0","0","0","0","0","2","0","4","27","55","0","0","0","0","0","0","0","20.6","","0","0","0","0","0","3","27","55","0","1","10","4","2","17","51.4","46.7","0","0","0","0","0","0","2","0","3","0","0","5","0","0","0","0","0","0","4","2","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","17","7","10","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Regio, Dino","1650081","13","10","8","2","0","47.9","20","1","12","60","55","14","7","2","7","4","43","0","0","0","1","0","1","12","54","0","0","0","0","0","0","0","38.5","","4","5","0","1","0","1","12","54","1","1","3","0","0","9","47.9","43.7","1","1","0","0","2","4","2","0","0","0","0","2","3","0","0","1","1","5","0","0","0","0","0","0","5","0","0","0","4","9","0","0","0","0","0","0","3","10","16","11","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Filippone, Gigi","1650084","13","-2","15","2","1","47.2","33","12","12","36","0","10","4","0","6","4","40","23","1","96","10","43","0","13","48","0","0","0","0","0","0","0","19.4","","1","1","0","2","3","3","13","48","0","0","4","0","0","9","47.2","43.8","1","0","2","1","5","9","0","1","5","3","0","9","4","2","1","0","0","7","0","0","0","0","0","0","3","1","0","0","4","8","0","0","0","0","0","0","3","26","24","17","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Piccolo, Rodrigo","1650087","7","3","13","0","0","50.7","13","4","7","54","23","6","3","0","3","1","17","0","0","0","1","0","0","25","46","0","0","0","0","0","0","0","13.8","","1","1","0","0","0","2","25","46","0","0","10","0","4","15","50.7","46.8","2","0","0","0","1","3","1","2","1","1","0","5","0","0","0","0","0","0","3","1","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","3","15","10","9","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Asini&Ricci","Pagliuca, Eusebio","1650089","0","0","0","0","0","0","0","0","0","0","0","24","14","5","10","8","54","24","0","100","7","29","0","0","0","3","4","10","1","4","3","2","19.6","","6","7","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","1","1","10","3","20","12","19","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Ondanomal","Guiducci, Paolo","1621447","1","0","10","1","0","47.7","0","0","0","0","0","11","7","2","4","2","36","0","0","0","0","0","1","16","47","42","5","97","35","33","21","8","4.4","","2","2","0","1","0","1","16","47","0","0","8","1","1","8","47.7","44.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","5","9","11","30","97","3","43","31","25","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Ondanomal","Brambillia, Mauro","1621451","14","5","21","3","3","47.5","22","5","11","50","27","11","7","4","4","3","64","24","1","96","9","38","0","10","38","0","0","0","0","0","0","0","41.1","","1","1","0","1","2","2","10","38","0","0","7","0","1","3","47.8","44.9","0","0","0","0","2","2","2","0","2","1","0","5","1","0","2","0","2","5","0","0","0","0","0","0","7","1","0","0","2","10","0","0","0","0","0","0","3","27","19","17","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Ondanomal","Piccolo, Alessio","1621454","16","11","14","2","0","50.7","18","3","12","67","50","7","5","0","2","0","0","0","0","0","1","0","4","25","50","0","0","1","0","0","1","0","40.3","","0","0","0","0","0","2","25","50","2","0","12","2","1","13","48.9","45.5","0","0","0","0","3","3","4","0","1","1","0","6","0","0","0","0","0","0","6","1","1","1","0","9","0","0","0","0","0","0","0","0","0","0","1","1","3","18","10","11","0","0","0","0","0"
"Italy","18736","1065375","italy_18736","Asini&Ricci vs Ondanomal 0:3","2026-05-16 17:00","BernabeuAsini","Ondanomal","Tullini, Arnaldo","1621449","16","11","16","1","0","50.8","21","4","11","52","33","14","8","0","6","3","21","0","0","0","0","0","5","17","55","0","0","0","0","0","0","0","37.8","","0","3","1","1","2","2","17","55","3","0","7","2","1","10","50.8","45.9","1","2","0","0","4","7","2","0","0","3","0","5","1","0","0","0","0","1","0","0","0","0","0","0","4","2","0","0","2","8","0","0","0","0","0","0","3","20","14","13","0","0","0","0","0"
