"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Lerner, Roberval","1928686","23","19","14","2","0","67.5","33","2","18","55","48","9","0","0","9","4","44","0","0","0","0","0","5","67","97","0","1","1","0","0","0","1","57.2","","1","2","0","4","3","3","67","97","3","0","33","2","0","34","67.5","56.9","0","0","0","1","2","3","0","0","0","0","2","2","0","0","0","0","0","0","15","1","1","2","9","28","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","2","1","5","12","9","9","10","8","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Laurent, Fabien","1767156","24","16","13","2","0","59.7","38","6","18","47","32","32","19","13","13","4","53","0","0","0","0","0","6","53","81","0","0","0","0","0","0","0","61.4","","3","8","0","3","1","2","53","81","3","1","29","3","0","24","59.7","53.8","1","0","0","0","3","4","1","0","1","1","1","4","14","1","2","0","9","26","0","0","0","0","0","0","1","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","13","5","1","0","6","1","4","0","1","0","2","1","5","17","9","17","14","18","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Gautier, Jean","1905888","16","8","15","0","0","66.5","34","8","15","44","21","31","15","11","16","11","71","35","0","100","16","46","1","35","68","0","0","0","0","0","0","0","58.8","","7","9","2","5","2","2","35","68","1","1","18","0","1","17","66.5","56","1","0","0","0","3","4","1","0","6","1","0","8","12","2","0","0","8","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","15","12","0","35","11","3","2","1","5","0","11","5","1","0","5","0","5","21","18","14","20","12","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Nikolov, Dimitar","2059989","9","7","7","0","1","61.4","17","2","6","35","24","5","3","0","2","0","0","0","0","0","0","0","2","30","47","0","0","0","0","0","0","0","22.8","","0","0","0","1","0","1","30","47","0","2","17","2","1","13","61.4","53.2","0","0","1","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","6","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","6","4","3","6","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Socha, Michał","1948991","0","-1","0","0","0","0","0","0","0","0","0","53","30","13","23","17","57","33","1","97","11","33","0","0","0","1","0","5","0","0","1","4","32.4","","12","14","4","7","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3","5","6","14","7","5","32","13","8","2","2","1","0","17","8","2","1","4","2","5","15","15","16","14","14","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Görkem, Refik","1949128","1","-1","15","2","0","59.3","1","0","0","0","0","11","5","2","6","1","27","0","0","0","0","0","1","18","63","50","17","123","26","47","38","12","3","","0","4","0","1","1","1","18","63","1","0","10","0","0","8","59.3","51.7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","17","4","7","45","123","0","0","0","0","0","2","1","0","0","1","0","1","0","0","0","1","0","5","25","21","24","24","16","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072566","usa_15203","Chicago Bulls vs RHCP 3:2","2026-04-30 19:00","United Centerr","RHCP","Kasprzyk, Aleksander","1905179","11","7","9","0","0","64.5","14","4","9","64","36","6","2","0","4","1","17","0","0","0","0","0","2","20","25","0","0","1","0","1","0","0","25.6","","1","1","0","3","0","0","20","25","0","0","8","2","0","12","64.5","56.3","1","0","0","0","0","1","1","0","0","1","0","2","0","0","0","0","0","0","6","1","3","0","1","11","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","5","2","4","4","9","3","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Chaffin, Sam","1864898","4","2","21","2","2","61.6","1","0","0","0","0","25","20","11","5","2","52","0","0","0","0","0","2","30","51","42","25","123","12","37","37","37","19.6","","1","1","1","4","0","0","30","51","2","0","30","0","0","0","61.6","51.4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","25","4","8","44","123","0","0","0","0","0","11","4","3","0","2","2","2","1","0","0","0","1","5","30","37","26","22","12","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Fulmer, Devin","1864189","10","2","18","0","1","59.7","13","5","4","31","-8","29","19","16","10","4","69","12","3","75","3","25","5","40","68","0","0","0","0","0","0","0","30.1","","3","3","1","7","0","0","40","68","4","0","38","1","0","2","59.7","51.4","2","0","3","0","2","7","0","0","2","0","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","2","2","4","1","9","16","4","4","1","6","1","4","0","2","0","1","1","5","18","9","12","11","8","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Hopper, Gavin","1976479","20","12","19","0","1","55.9","40","8","13","33","13","10","4","0","6","1","10","0","0","0","0","0","6","47","75","2","1","6","0","0","1","5","38","","0","3","0","2","1","1","47","75","6","1","41","0","0","6","55.9","47.4","2","2","2","0","4","10","0","0","0","0","0","0","0","0","0","0","0","0","10","2","2","1","15","30","0","0","0","0","0","0","2","1","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","5","11","14","14","14","5","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Campbell, Jeffery","1905100","21","12","17","0","0","62.9","45","9","20","44","24","24","16","7","8","1","33","0","0","0","0","0","1","32","86","0","0","0","0","0","0","0","40.3","","1","2","0","6","0","0","32","86","1","0","29","0","0","3","62.9","52","7","0","1","1","4","13","2","0","4","1","1","8","8","2","1","0","6","17","0","0","0","0","0","0","0","1","0","1","5","7","0","0","0","0","0","0","0","0","0","0","0","7","2","1","0","3","1","1","0","1","0","0","0","5","14","18","16","14","3","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Anderson, Nick","1767402","7","4","19","0","1","56.2","7","1","4","57","43","22","15","12","7","4","73","65","2","97","29","45","2","40","88","0","0","0","0","0","0","0","59.5","","4","4","0","3","0","0","40","88","2","0","39","0","0","1","56.2","49.4","1","1","0","0","0","2","0","0","0","0","0","0","2","0","0","1","1","4","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","21","22","16","63","12","5","4","1","1","1","4","0","3","0","0","1","5","20","28","21","16","13","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Bell, Adam","1949614","31","16","10","0","1","60.3","55","15","21","38","11","5","3","0","2","0","0","0","0","0","0","0","9","61","85","0","0","0","0","0","0","0","51.7","","0","0","0","2","0","0","61","85","9","0","60","0","0","1","60.3","53.2","6","0","5","0","7","18","2","1","4","0","0","7","0","0","0","0","0","0","13","0","5","0","12","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","19","16","14","9","12","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Burns, Mike","1725160","0","0","0","0","0","0","0","0","0","0","0","33","20","16","13","7","70","5","0","100","1","20","0","0","0","3","2","7","0","0","2","5","18","","4","4","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","2","7","0","1","3","1","5","16","5","1","2","7","1","7","2","2","1","0","2","5","5","9","10","6","4","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Berry, Troy","1905101","0","0","1","0","0","46.5","1","0","0","0","0","5","4","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","","0","0","0","1","0","0","2","2","0","0","2","0","0","0","46.5","46.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","1","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Fisher, Matt","1709373","0","0","0","0","0","0","0","0","0","0","0","3","2","1","1","0","33","2","0","100","1","50","0","0","0","0","0","0","0","0","0","0","2","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072567","usa_15203","Missouri Mustangs II vs On Point 3:2","2026-04-30 19:00","The Stable","Missouri Mustangs II","Maples, Eric","1905097","0","-1","1","0","0","53.7","1","1","0","0","-100","1","1","0","0","0","0","2","0","100","2","100","0","0","4","0","0","0","0","0","0","0","0.1","","0","0","0","0","0","0","0","4","0","0","0","0","0","0","53.7","53.7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
