"Liga","Mecz","MatchId","Data","Arena","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Goderie, Bertus","1950519","0","0","6","0","0","59.4","0","0","0","0","0","10","6","2","4","1","30","0","0","0","0","0","0","2","19","12","27","73","5","16","23","29","2","{""sets"":[{""h"":5,""a"":25},{""h"":8,""a"":25},{""h"":9,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""5 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""5 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""5 : 25"",""speed"":""46.4 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""5 : 24"",""speed"":""46.7 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 23"",""speed"":""43.3 km/h"",""res"":""Punkt: M. Nestorowicz""},{""type"":""rally"",""score"":""5 : 22"",""speed"":""48.6 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 21"",""speed"":""48.2 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""5 : 20"",""speed"":""52.5 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 19"",""speed"":""49.9 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 18"",""speed"":""46.6 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 17"",""speed"":""55.9 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""5 : 16"",""speed"":""57.3 km/h"",""res"":""Punkt: T. Maestri""},{""type"":""tmo"",""score"":""4 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""4 : 16"",""speed"":""46.6 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""4 : 15"",""speed"":""47.1 km/h"",""res"":""Punkt: A. Nowakowski""},{""type"":""rally"",""score"":""3 : 15"",""speed"":""42.9 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""3 : 14"",""speed"":""55.4 km/h"",""res"":""Punkt: A. Nowakowski""},{""type"":""rally"",""score"":""2 : 14"",""speed"":""51.5 km/h"",""res"":""Punkt: D. Cook""},{""type"":""chg"",""score"":""2 : 13"",""txt"":""Zmiana: G. Şahsene ⇄ G. Corvucci""},{""type"":""rally"",""score"":""2 : 13"",""speed"":""50.8 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""2 : 12"",""speed"":""46.8 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""2 : 11"",""speed"":""47.4 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""57.0 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""45.6 km/h"",""res"":""Punkt: K. Lis""},{""type"":""tmo"",""score"":""2 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""2 : 8"",""speed"":""54.7 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""53.0 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""2 : 6"",""speed"":""43.9 km/h"",""res"":""Punkt: A. Topalov""},{""type"":""chg"",""score"":""1 : 6"",""txt"":""Zmiana: G. Corvucci ⇄ G. Şahsene""},{""type"":""chg"",""score"":""1 : 6"",""txt"":""Zmiana: F. Gouze ⇄ Y. Angelov""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""51.9 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""47.7 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""51.8 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""52.3 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""48.0 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""44.5 km/h"",""res"":""Punkt: T. Maestri""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: D. Cook ⇄ F. Deniel""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Nestorowicz ⇄ A. Hernik""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Ławski ⇄ J. Klocker""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""49.3 km/h"",""res"":""Punkt: F. Deniel""}]},{""rallies"":[{""type"":""end"",""score"":""8 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""8 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""8 : 25"",""speed"":""52.2 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""8 : 24"",""speed"":""48.7 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""8 : 23"",""speed"":""45.7 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""8 : 22"",""speed"":""45.4 km/h"",""res"":""Punkt: F. Deniel""},{""type"":""rally"",""score"":""8 : 21"",""speed"":""47.1 km/h"",""res"":""Punkt: S. Yordanov""},{""type"":""rally"",""score"":""7 : 21"",""speed"":""59.2 km/h"",""res"":""Błąd: T. Maestri""},{""type"":""rally"",""score"":""7 : 20"",""speed"":""46.0 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""7 : 19"",""speed"":""52.1 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""7 : 18"",""speed"":""-"",""res"":""Błąd: I. Nikić""},{""type"":""rally"",""score"":""7 : 17"",""speed"":""62.2 km/h"",""res"":""Błąd: M. Ławski""},{""type"":""rally"",""score"":""6 : 17"",""speed"":""60.2 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""tmo"",""score"":""6 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""6 : 16"",""speed"":""60.3 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""6 : 15"",""speed"":""60.8 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""6 : 14"",""speed"":""57.1 km/h"",""res"":""Punkt: A. Hernik""},{""type"":""rally"",""score"":""6 : 13"",""speed"":""42.4 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""6 : 12"",""speed"":""46.8 km/h"",""res"":""Punkt: I. Nikić""},{""type"":""rally"",""score"":""5 : 12"",""speed"":""48.3 km/h"",""res"":""Punkt: S. Yordanov""},{""type"":""rally"",""score"":""4 : 12"",""speed"":""43.6 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""4 : 11"",""speed"":""-"",""res"":""Błąd: A. Nowakowski""},{""type"":""rally"",""score"":""4 : 10"",""speed"":""44.5 km/h"",""res"":""Błąd: K. Lis""},{""type"":""rally"",""score"":""3 : 10"",""speed"":""44.9 km/h"",""res"":""Punkt: I. Nikić""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""51.3 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""49.6 km/h"",""res"":""Punkt: M. Ławski""},{""type"":""tmo"",""score"":""2 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""2 : 8"",""speed"":""47.5 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""48.9 km/h"",""res"":""Punkt: F. Deniel""},{""type"":""rally"",""score"":""2 : 6"",""speed"":""48.0 km/h"",""res"":""Punkt: A. Topalov""},{""type"":""chg"",""score"":""1 : 6"",""txt"":""Zmiana: F. Gouze ⇄ Y. Angelov""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""52.6 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""58.4 km/h"",""res"":""Błąd: A. Nowakowski""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""53.4 km/h"",""res"":""Punkt: Y. Angelov""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""49.7 km/h"",""res"":""Punkt: A. Hernik""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""49.8 km/h"",""res"":""Punkt: F. Deniel""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""50.3 km/h"",""res"":""Punkt: Y. Angelov""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: M. Ławski ⇄ J. Klocker""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""-"",""res"":""Błąd: B. Perrari""}]},{""rallies"":[{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""9 : 25"",""speed"":""53.9 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""9 : 24"",""speed"":""43.2 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""9 : 23"",""speed"":""54.6 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""9 : 22"",""speed"":""42.9 km/h"",""res"":""Punkt: T. Maestri""},{""type"":""rally"",""score"":""8 : 22"",""speed"":""41.4 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""8 : 21"",""speed"":""51.1 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""8 : 20"",""speed"":""47.5 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""8 : 19"",""speed"":""52.6 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""8 : 18"",""speed"":""48.8 km/h"",""res"":""Punkt: F. Gouze""},{""type"":""rally"",""score"":""8 : 17"",""speed"":""51.7 km/h"",""res"":""Punkt: D. Cook""},{""type"":""tmo"",""score"":""8 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 16"",""speed"":""-"",""res"":""Błąd: I. Nikić""},{""type"":""rally"",""score"":""8 : 15"",""speed"":""-"",""res"":""Błąd: J. Klocker""},{""type"":""rally"",""score"":""7 : 15"",""speed"":""-"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""7 : 14"",""speed"":""61.6 km/h"",""res"":""Punkt: I. Nikić""},{""type"":""rally"",""score"":""6 : 14"",""speed"":""54.7 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""chg"",""score"":""6 : 13"",""txt"":""Zmiana: G. Şahsene ⇄ G. Corvucci""},{""type"":""rally"",""score"":""6 : 13"",""speed"":""51.0 km/h"",""res"":""Punkt: A. Hernik""},{""type"":""rally"",""score"":""6 : 12"",""speed"":""56.5 km/h"",""res"":""Błąd: I. Nikić""},{""type"":""rally"",""score"":""6 : 11"",""speed"":""63.6 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""6 : 10"",""speed"":""50.5 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""6 : 9"",""speed"":""45.8 km/h"",""res"":""Punkt: A. Hernik""},{""type"":""rally"",""score"":""6 : 8"",""speed"":""-"",""res"":""Błąd: D. Cook""},{""type"":""tmo"",""score"":""5 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""5 : 8"",""speed"":""54.7 km/h"",""res"":""Błąd: A. Nowakowski""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""41.6 km/h"",""res"":""Punkt: J. Klocker""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: G. Corvucci ⇄ G. Şahsene""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: F. Gouze ⇄ Y. Angelov""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""56.1 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 5"",""speed"":""50.4 km/h"",""res"":""Punkt: J. Klocker""},{""type"":""rally"",""score"":""5 : 4"",""speed"":""48.9 km/h"",""res"":""Punkt: D. Cook""},{""type"":""rally"",""score"":""5 : 3"",""speed"":""51.8 km/h"",""res"":""Punkt: T. Maestri""},{""type"":""rally"",""score"":""4 : 3"",""speed"":""-"",""res"":""Błąd: T. Maestri""},{""type"":""rally"",""score"":""4 : 2"",""speed"":""42.8 km/h"",""res"":""Punkt: A. Topalov""},{""type"":""rally"",""score"":""3 : 2"",""speed"":""56.2 km/h"",""res"":""Punkt: T. Maestri""},{""type"":""rally"",""score"":""2 : 2"",""speed"":""52.1 km/h"",""res"":""Punkt: Y. Angelov""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""56.0 km/h"",""res"":""Punkt: K. Lis""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""58.4 km/h"",""res"":""Błąd: Y. Angelov""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: D. Cook ⇄ F. Deniel""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""59.4 km/h"",""res"":""Błąd: F. Deniel""}]}]}","1","1","0","3","0","0","2","19","0","0","1","0","0","1","59.4","53.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","27","3","9","22","73","0","0","0","0","0","2","0","1","1","0","0","1","0","0","0","0","1","3","25","26","24","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Maestri, Tarcisio","1745515","7","-2","4","1","0","50.3","19","6","7","37","5","16","8","1","8","1","13","52","2","96","6","12","0","2","20","0","0","0","0","0","0","0","24.6","","1","1","0","7","0","0","2","20","0","0","2","0","0","0","50.3","47","2","0","0","0","3","5","0","0","1","0","1","2","3","1","3","1","1","9","0","0","0","0","0","0","0","0","1","1","1","3","0","0","0","0","0","0","3","9","18","20","50","1","0","1","0","0","0","1","0","0","0","1","0","3","21","22","22","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Topalov, Angel","1904580","3","0","3","0","0","53","8","3","2","25","-12","4","1","0","3","1","25","0","0","0","0","0","1","13","23","0","0","1","0","0","0","1","2.9","","0","0","1","3","0","0","13","23","1","0","13","0","0","0","53","50.3","1","0","1","0","1","3","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","5","3","5","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Nowakowski, Aleksander","1929387","2","-8","4","1","0","45.8","16","9","2","13","-44","12","8","1","4","1","17","0","0","0","0","0","0","7","24","0","0","0","0","0","0","0","-18.1","","0","0","1","4","0","0","7","24","0","0","7","0","0","0","45.8","44.4","1","0","2","0","3","6","0","1","4","0","1","6","0","1","1","0","0","2","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","3","9","7","10","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Yordanov, Stoyan","1864350","3","-12","4","1","0","46.8","23","14","2","9","-52","11","6","0","5","0","0","6","0","100","1","17","1","7","23","0","0","0","0","0","0","0","-22.6","","0","0","0","5","0","0","7","23","1","0","7","0","0","0","46.8","45.3","1","3","1","0","4","9","0","0","5","1","0","6","0","2","0","0","1","3","0","0","0","0","0","0","0","1","2","0","2","5","0","0","0","0","0","0","1","2","1","2","6","0","0","0","0","0","0","0","0","0","0","0","0","3","11","13","12","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Nikić, Ilhan","1929306","3","-5","3","2","0","55.9","10","6","2","20","-40","2","0","0","2","0","0","0","0","0","0","0","1","8","20","0","0","0","0","0","0","0","-4","","0","0","0","2","0","0","8","20","1","0","7","0","0","1","55.9","55.9","0","1","1","0","1","3","1","0","2","0","0","3","0","0","0","0","0","0","1","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","7","4","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","BT ENERGIA","137456","Dębicki, Tomasz","1864597","0","-1","0","0","0","0","0","0","0","0","0","11","4","0","7","1","9","12","1","92","3","25","0","0","0","0","1","2","0","0","1","1","4","","0","1","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","4","3","3","11","0","0","0","0","0","0","1","0","1","0","0","0","3","8","5","6","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","Zawisza Olsztyn","128659","Perrari, Bruno","1745249","0","-1","19","1","0","52.6","0","0","0","0","0","8","3","2","5","1","38","0","0","0","0","0","0","11","30","28","3","40","20","8","9","3","1","","1","4","0","1","0","0","11","30","0","0","11","0","0","0","52.6","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","3","0","4","5","40","0","0","0","0","0","2","2","0","0","0","0","1","0","0","0","1","0","3","20","18","19","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","Zawisza Olsztyn","128659","Hernik, Andrzej","1767099","4","4","10","0","0","58.4","4","0","2","50","50","5","2","2","3","3","100","2","0","100","1","50","2","16","25","0","0","0","0","0","0","0","14","","2","2","0","0","1","1","16","25","2","0","15","0","0","1","58.4","51.7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","2","1","0","0","0","1","3","3","0","0","0","0","2","0","9","9","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.9","BT ENERGIA vs Zawisza Olsztyn 0:3","1127703","2026-07-02 17:00","Energia","Zawisza Olsztyn","128659","Angelov, Yordan","1864571","3","2","5","0","0","52.3","3","1","2","67","33","1","0","0","1","0","0","0","0","0","0","0","1","12","12","0","0","1","0","0","0","1","5.5","","0","0","0","1","0","0","12","12","1","1","11","0","0","1","52.3","51.1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","3","3","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
