"Liga","Mecz","MatchId","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","de Aragão, William","1904968","3","3","15","0","0","76.6","0","0","0","0","0","11","8","7","3","1","73","0","0","0","0","0","3","23","30","20","4","40","15","12","12","1","15","{""sets"":[{""h"":25,""a"":13},{""h"":25,""a"":8},{""h"":25,""a"":8}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""25 : 13"",""txt"":""Koniec seta 1 : 0""},{""type"":""end"",""score"":""25 : 13"",""txt"":""Koniec seta 1 : 0""},{""type"":""rally"",""score"":""25 : 13"",""speed"":""60.4 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""24 : 13"",""speed"":""61.6 km/h"",""res"":""Punkt: W. de Aragão""},{""type"":""tmo"",""score"":""23 : 13"",""txt"":""Czas dla: Petronas Eagles""},{""type"":""rally"",""score"":""23 : 13"",""speed"":""47.3 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""22 : 13"",""speed"":""59.6 km/h"",""res"":""Błąd: T. Grudziński""},{""type"":""rally"",""score"":""21 : 13"",""speed"":""52.5 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""20 : 13"",""speed"":""59.8 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""19 : 13"",""speed"":""51.5 km/h"",""res"":""Punkt: L. Maciejewski""},{""type"":""chg"",""score"":""19 : 12"",""txt"":""Zmiana: L. Maciejewski ⇄ D. Simon""},{""type"":""rally"",""score"":""19 : 12"",""speed"":""61.3 km/h"",""res"":""Punkt: M. Jasiński""},{""type"":""rally"",""score"":""18 : 12"",""speed"":""58.1 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""chg"",""score"":""18 : 11"",""txt"":""Zmiana: M. Pigoń ⇄ M. Żabiński""},{""type"":""rally"",""score"":""18 : 11"",""speed"":""57.9 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""17 : 11"",""speed"":""56.3 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""tmo"",""score"":""16 : 11"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 11"",""speed"":""70.7 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""15 : 11"",""speed"":""58.5 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""rally"",""score"":""15 : 10"",""speed"":""53.3 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""14 : 10"",""speed"":""70.7 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""13 : 10"",""speed"":""68.8 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""rally"",""score"":""13 : 9"",""speed"":""49.0 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""12 : 9"",""speed"":""58.6 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""11 : 9"",""speed"":""58.8 km/h"",""res"":""Punkt: J. Merida""},{""type"":""chg"",""score"":""11 : 8"",""txt"":""Zmiana: J. Merida ⇄ W. Kaczyński""},{""type"":""rally"",""score"":""11 : 8"",""speed"":""58.4 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""10 : 8"",""speed"":""58.0 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""9 : 8"",""speed"":""57.1 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""56.3 km/h"",""res"":""Punkt: T. Grudziński""},{""type"":""tmo"",""score"":""8 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""57.4 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""63.5 km/h"",""res"":""Punkt: D. Simon""},{""type"":""rally"",""score"":""7 : 6"",""speed"":""51.1 km/h"",""res"":""Punkt: T. Colombier""},{""type"":""rally"",""score"":""7 : 5"",""speed"":""42.7 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""rally"",""score"":""7 : 4"",""speed"":""88.2 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""6 : 4"",""speed"":""73.5 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""rally"",""score"":""6 : 3"",""speed"":""59.5 km/h"",""res"":""Punkt: V. Gonzaga""},{""type"":""chg"",""score"":""6 : 2"",""txt"":""Zmiana: H. Schretter ⇄ Y. Tsukamoto""},{""type"":""chg"",""score"":""6 : 2"",""txt"":""Zmiana: A. Fonfara ⇄ K. Seki""},{""type"":""chg"",""score"":""6 : 2"",""txt"":""Zmiana: M. Jasiński ⇄ M. da Silva""},{""type"":""rally"",""score"":""6 : 2"",""speed"":""64.5 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""5 : 2"",""speed"":""-"",""res"":""Błąd: K. Seki""},{""type"":""tmo"",""score"":""5 : 1"",""txt"":""Czas dla: Silver Arsenal""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""48.2 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""65.7 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""72.8 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""48.0 km/h"",""res"":""Punkt: T. Colombier""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""55.9 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""68.8 km/h"",""res"":""Punkt: M. da Silva""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 8"",""txt"":""Koniec seta 2 : 0""},{""type"":""end"",""score"":""25 : 8"",""txt"":""Koniec seta 2 : 0""},{""type"":""rally"",""score"":""25 : 8"",""speed"":""-"",""res"":""Błąd: M. Pigoń""},{""type"":""rally"",""score"":""24 : 8"",""speed"":""70.9 km/h"",""res"":""Punkt: M. Pigoń""},{""type"":""rally"",""score"":""24 : 7"",""speed"":""47.4 km/h"",""res"":""Punkt: T. Colombier""},{""type"":""rally"",""score"":""24 : 6"",""speed"":""49.1 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""23 : 6"",""speed"":""50.3 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""22 : 6"",""speed"":""45.1 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""21 : 6"",""speed"":""50.5 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""20 : 6"",""speed"":""55.9 km/h"",""res"":""Punkt: H. Schretter""},{""type"":""rally"",""score"":""19 : 6"",""speed"":""63.1 km/h"",""res"":""Błąd: M. da Silva""},{""type"":""rally"",""score"":""19 : 5"",""speed"":""48.5 km/h"",""res"":""Punkt: T. Grudziński""},{""type"":""rally"",""score"":""19 : 4"",""speed"":""49.4 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""18 : 4"",""speed"":""55.6 km/h"",""res"":""Punkt: D. Simon""},{""type"":""rally"",""score"":""18 : 3"",""speed"":""43.8 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""17 : 3"",""speed"":""47.1 km/h"",""res"":""Błąd: T. Colombier""},{""type"":""tmo"",""score"":""16 : 3"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 3"",""speed"":""71.5 km/h"",""res"":""Błąd: T. Colombier""},{""type"":""rally"",""score"":""15 : 3"",""speed"":""-"",""res"":""Błąd: M. da Silva""},{""type"":""rally"",""score"":""15 : 2"",""speed"":""53.6 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""chg"",""score"":""14 : 2"",""txt"":""Zmiana: M. Pigoń ⇄ M. Żabiński""},{""type"":""chg"",""score"":""14 : 2"",""txt"":""Zmiana: D. Simon ⇄ L. Maciejewski""},{""type"":""rally"",""score"":""14 : 2"",""speed"":""54.7 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""chg"",""score"":""13 : 2"",""txt"":""Zmiana: V. Gonzaga ⇄ K. Radomski""},{""type"":""rally"",""score"":""13 : 2"",""speed"":""45.9 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""12 : 2"",""speed"":""51.3 km/h"",""res"":""Błąd: L. Maciejewski""},{""type"":""rally"",""score"":""11 : 2"",""speed"":""58.6 km/h"",""res"":""Błąd: L. Maciejewski""},{""type"":""rally"",""score"":""10 : 2"",""speed"":""50.6 km/h"",""res"":""Punkt: A. Fonfara""},{""type"":""rally"",""score"":""9 : 2"",""speed"":""52.3 km/h"",""res"":""Punkt: K. Seki""},{""type"":""rally"",""score"":""8 : 2"",""speed"":""56.2 km/h"",""res"":""Punkt: L. Maciejewski""},{""type"":""chg"",""score"":""8 : 1"",""txt"":""Zmiana: L. Maciejewski ⇄ D. Simon""},{""type"":""tmo"",""score"":""8 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""54.8 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""chg"",""score"":""7 : 1"",""txt"":""Zmiana: K. Radomski ⇄ V. Gonzaga""},{""type"":""rally"",""score"":""7 : 1"",""speed"":""54.9 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""chg"",""score"":""6 : 1"",""txt"":""Zmiana: J. Mazur ⇄ W. de Aragão""},{""type"":""chg"",""score"":""6 : 1"",""txt"":""Zmiana: H. Schretter ⇄ E. Baird""},{""type"":""chg"",""score"":""6 : 1"",""txt"":""Zmiana: A. Fonfara ⇄ �. Pinho""},{""type"":""rally"",""score"":""6 : 1"",""speed"":""58.6 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""67.7 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""43.7 km/h"",""res"":""Punkt: T. Colombier""},{""type"":""tmo"",""score"":""4 : 0"",""txt"":""Czas dla: Petronas Eagles""},{""type"":""rally"",""score"":""4 : 0"",""speed"":""54.4 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""3 : 0"",""speed"":""44.2 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""52.7 km/h"",""res"":""Punkt: M. da Silva""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""85.5 km/h"",""res"":""Punkt: E. Baird""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 8"",""txt"":""Koniec seta 3 : 0""},{""type"":""end"",""score"":""25 : 8"",""txt"":""Koniec seta 3 : 0""},{""type"":""rally"",""score"":""25 : 8"",""speed"":""51.6 km/h"",""res"":""Punkt: K. Seki""},{""type"":""rally"",""score"":""24 : 8"",""speed"":""48.6 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""23 : 8"",""speed"":""-"",""res"":""Błąd: Y. Tsukamoto""},{""type"":""rally"",""score"":""23 : 7"",""speed"":""70.9 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""22 : 7"",""speed"":""59.8 km/h"",""res"":""Błąd: É. Pinho""},{""type"":""rally"",""score"":""22 : 6"",""speed"":""65.8 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""21 : 6"",""speed"":""59.0 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""20 : 6"",""speed"":""62.7 km/h"",""res"":""Punkt: W. de Aragão""},{""type"":""rally"",""score"":""19 : 6"",""speed"":""49.7 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""18 : 6"",""speed"":""59.1 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""17 : 6"",""speed"":""51.4 km/h"",""res"":""Punkt: T. Colombier""},{""type"":""rally"",""score"":""17 : 5"",""speed"":""53.1 km/h"",""res"":""Punkt: L. Maciejewski""},{""type"":""rally"",""score"":""17 : 4"",""speed"":""55.4 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""chg"",""score"":""16 : 4"",""txt"":""Zmiana: M. Pigoń ⇄ M. Żabiński""},{""type"":""tmo"",""score"":""16 : 4"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 4"",""speed"":""51.7 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""15 : 4"",""speed"":""47.4 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""14 : 4"",""speed"":""52.6 km/h"",""res"":""Punkt: W. de Aragão""},{""type"":""rally"",""score"":""13 : 4"",""speed"":""67.0 km/h"",""res"":""Punkt: Y. Tsukamoto""},{""type"":""rally"",""score"":""12 : 4"",""speed"":""53.0 km/h"",""res"":""Punkt: K. Radomski""},{""type"":""rally"",""score"":""12 : 3"",""speed"":""45.4 km/h"",""res"":""Błąd: É. Pinho""},{""type"":""rally"",""score"":""12 : 2"",""speed"":""-"",""res"":""Błąd: J. Merida""},{""type"":""rally"",""score"":""11 : 2"",""speed"":""46.8 km/h"",""res"":""Punkt: L. Maciejewski""},{""type"":""chg"",""score"":""11 : 1"",""txt"":""Zmiana: L. Maciejewski ⇄ D. Simon""},{""type"":""rally"",""score"":""11 : 1"",""speed"":""68.8 km/h"",""res"":""Punkt: K. Seki""},{""type"":""rally"",""score"":""10 : 1"",""speed"":""46.6 km/h"",""res"":""Punkt: É. Pinho""},{""type"":""rally"",""score"":""9 : 1"",""speed"":""66.4 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""62.5 km/h"",""res"":""Błąd: E. Baird""},{""type"":""tmo"",""score"":""8 : 0"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 0"",""speed"":""55.2 km/h"",""res"":""Punkt: M. Jasiński""},{""type"":""chg"",""score"":""7 : 0"",""txt"":""Zmiana: K. Radomski ⇄ V. Gonzaga""},{""type"":""rally"",""score"":""7 : 0"",""speed"":""73.5 km/h"",""res"":""Punkt: K. Seki""},{""type"":""chg"",""score"":""6 : 0"",""txt"":""Zmiana: M. Jasiński ⇄ M. da Silva""},{""type"":""rally"",""score"":""6 : 0"",""speed"":""59.2 km/h"",""res"":""Punkt: K. Seki""},{""type"":""chg"",""score"":""5 : 0"",""txt"":""Zmiana: M. Chłopicki ⇄ D. Bukowski""},{""type"":""tmo"",""score"":""5 : 0"",""txt"":""Czas dla: Silver Arsenal""},{""type"":""rally"",""score"":""5 : 0"",""speed"":""76.6 km/h"",""res"":""Punkt: E. Baird""},{""type"":""chg"",""score"":""4 : 0"",""txt"":""Zmiana: J. Merida ⇄ W. Kaczyński""},{""type"":""tmo"",""score"":""4 : 0"",""txt"":""Czas dla: Petronas Eagles""},{""type"":""rally"",""score"":""4 : 0"",""speed"":""57.2 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""3 : 0"",""speed"":""59.0 km/h"",""res"":""Punkt: E. Baird""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""66.8 km/h"",""res"":""Punkt: K. Seki""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""48.0 km/h"",""res"":""Punkt: M. da Silva""}]}]}","1","2","0","1","0","0","23","30","3","1","22","0","0","1","76.6","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","4","0","3","13","40","0","0","0","0","0","7","3","1","0","3","0","1","1","0","0","0","0","3","23","4","24","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Seki, Kon","1974616","6","2","10","1","1","65.7","5","1","1","20","0","5","4","3","1","1","80","8","2","75","3","38","4","23","35","0","0","0","0","0","0","0","16.9","","1","1","0","0","0","0","23","35","4","0","23","0","0","0","68.8","52.3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","3","0","0","0","0","0","0","2","2","2","0","6","3","0","1","1","0","1","1","0","0","0","1","0","3","3","12","12","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Baird, Edmund","1950766","9","7","6","0","0","59.5","14","2","8","57","43","2","1","0","1","0","0","0","0","0","0","0","1","27","39","0","0","0","0","0","0","0","24.6","","0","1","0","0","0","0","27","39","1","2","27","0","0","0","59.5","56","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","8","1","1","0","3","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","4","9","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","da Silva, Marcelo","1948992","8","4","7","1","0","58.6","6","3","2","33","-17","2","1","1","1","0","50","0","0","0","0","0","6","19","35","0","0","0","0","0","0","0","17.3","","0","1","0","0","0","0","19","35","6","0","18","0","0","1","58.6","52.5","0","0","1","0","0","1","0","0","0","0","0","0","2","0","1","0","1","4","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","3","15","2","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Pinho, Éder","1864710","8","6","11","0","0","0","7","2","2","29","0","4","3","3","1","0","75","6","0","100","2","33","6","23","35","0","0","0","0","0","0","0","24.6","","0","1","0","0","0","0","23","35","6","0","22","0","0","1","65.8","57.7","1","0","0","0","2","3","0","0","0","0","0","0","1","1","0","0","1","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","1","2","0","6","3","1","0","1","1","0","0","0","0","0","0","0","2","14","0","13","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Tsukamoto, Yasuzo","1950768","12","10","2","1","0","48.5","12","1","8","67","58","0","0","0","0","0","0","0","0","0","0","0","4","21","33","0","0","0","0","0","0","0","37.1","","0","0","0","0","0","0","21","33","4","1","20","0","0","1","48.5","48.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","8","10","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Bukowski, Dominik","1927792","0","0","0","0","0","0","0","0","0","0","0","11","4","3","7","7","91","6","0","100","4","67","0","0","0","5","2","9","2","3","2","2","9.2","","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","2","9","4","1","1","0","6","3","2","0","0","1","0","7","5","1","0","1","0","3","10","6","5","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Schretter, Herbert","1976365","11","9","6","0","1","58.8","11","2","7","64","45","0","0","0","0","0","0","0","0","0","0","0","3","22","25","0","1","1","0","0","0","1","32","","0","0","0","0","0","0","22","25","3","1","22","0","0","0","58.8","56.8","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","7","0","1","0","1","9","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","6","0","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Fonfara, Andrzej","1686241","9","8","5","0","0","58.5","3","0","3","100","100","5","2","0","3","1","20","7","1","86","2","29","6","12","27","0","0","0","0","0","0","0","25.6","","1","3","0","0","0","0","12","27","6","0","12","0","0","0","58.5","51.7","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","3","0","1","6","0","0","0","0","0","0","1","1","0","0","0","0","2","13","10","0","0","0","bulk-1.24-matchid-column","0","0","0"
"3.1","Silver Arsenal vs Petronas Eagles 3:0","1036666","2026-06-02 17:00","Silver Hall","Silver Arsenal","Mazur, Julian","1685712","0","0","5","0","0","50.5","0","0","0","0","0","3","1","1","2","2","100","0","0","0","0","0","0","7","11","6","1","10","4","2","1","3","1.6","","2","2","0","0","0","0","7","11","0","1","7","0","0","0","50.5","48.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","1","2","10","0","0","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","1","0","14","0","0","0","bulk-1.24-matchid-column","0","0","0"
