"SeasonId","Liga","MatchId","Date","Arena","HomeTeam","HomeTeamId","AwayTeam","AwayTeamId","Score","HomeSets","AwaySets","HomeMP","AwayMP","SourceFile","Key"
"174","reprezentacja_grupa1","1105621","2026-06-21 19:00","","Bulgaria","","Poland","","3:1","3","1","93","76","baza_reprezentacja_grupa1.csv","reprezentacja_grupa1|1105621"
"174","reprezentacja_grupa1","1105622","2026-06-21 19:00","","Argentina","","France","","3:2","3","2","110","93","baza_reprezentacja_grupa1.csv","reprezentacja_grupa1|1105622"
"174","reprezentacja_grupa1","1105623","2026-06-21 19:00","","Japan","","USA","","3:1","3","1","93","84","baza_reprezentacja_grupa1.csv","reprezentacja_grupa1|1105623"
"174","reprezentacja_grupa2","1105663","2026-06-21 19:00","","Germany","","Bosnia-Herzegovina","","3:2","3","2","111","98","baza_reprezentacja_grupa2.csv","reprezentacja_grupa2|1105663"
"174","reprezentacja_grupa2","1105664","2026-06-21 19:00","","China","","Italy","","3:2","3","2","114","115","baza_reprezentacja_grupa2.csv","reprezentacja_grupa2|1105664"
"174","reprezentacja_grupa2","1105665","2026-06-21 19:00","","Turkey","","Slovenia","","3:2","3","2","107","106","baza_reprezentacja_grupa2.csv","reprezentacja_grupa2|1105665"
"174","reprezentacja_grupa3","1105705","2026-06-21 19:00","","Estonia","","Spain","","2:3","2","3","105","111","baza_reprezentacja_grupa3.csv","reprezentacja_grupa3|1105705"
"174","reprezentacja_grupa3","1105706","2026-06-21 19:00","","Croatia","","Czech Republic","","0:3","0","3","30","75","baza_reprezentacja_grupa3.csv","reprezentacja_grupa3|1105706"
"174","reprezentacja_grupa3","1105707","2026-06-21 19:00","","Romania","","Finland","","1:3","1","3","82","94","baza_reprezentacja_grupa3.csv","reprezentacja_grupa3|1105707"
"174","reprezentacja_grupa4","1105747","2026-06-21 19:00","","Netherlands","","International","","0:3","0","3","50","75","baza_reprezentacja_grupa4.csv","reprezentacja_grupa4|1105747"
