"Liga","Mecz","MatchId","Data","Arena","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Riley, Frank","1974588","1","1","9","0","0","69.8","2","0","0","0","0","12","7","3","5","2","42","0","0","0","0","0","1","24","35","23","19","70","10","17","27","16","6.2","{""sets"":[{""h"":20,""a"":25},{""h"":9,""a"":25},{""h"":20,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""20 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""20 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""20 : 25"",""speed"":""57.4 km/h"",""res"":""Punkt: D. Ronchetti""},{""type"":""rally"",""score"":""20 : 24"",""speed"":""57.4 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""chg"",""score"":""19 : 24"",""txt"":""Zmiana: M. Nowak ⇄ M. Silvares""},{""type"":""rally"",""score"":""19 : 24"",""speed"":""55.7 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""18 : 24"",""speed"":""63.5 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""17 : 24"",""speed"":""46.7 km/h"",""res"":""Punkt: M. Silvares""},{""type"":""rally"",""score"":""17 : 23"",""speed"":""69.8 km/h"",""res"":""Punkt: M. Silvares""},{""type"":""rally"",""score"":""17 : 22"",""speed"":""54.0 km/h"",""res"":""Punkt: F. Cordalis""},{""type"":""chg"",""score"":""16 : 22"",""txt"":""Zmiana: M. Silvares ⇄ M. Nowak""},{""type"":""rally"",""score"":""16 : 22"",""speed"":""48.0 km/h"",""res"":""Punkt: F. Wygoda""},{""type"":""chg"",""score"":""16 : 21"",""txt"":""Zmiana: D. Ronchetti ⇄ D. Geraci""},{""type"":""rally"",""score"":""16 : 21"",""speed"":""42.9 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""16 : 20"",""speed"":""50.9 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""16 : 19"",""speed"":""54.9 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""16 : 18"",""speed"":""54.8 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""rally"",""score"":""15 : 18"",""speed"":""49.9 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""15 : 17"",""speed"":""49.2 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""rally"",""score"":""14 : 17"",""speed"":""47.1 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""13 : 17"",""speed"":""50.0 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""13 : 16"",""speed"":""50.1 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""tmo"",""score"":""12 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""12 : 16"",""speed"":""53.0 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""12 : 15"",""speed"":""72.8 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""12 : 14"",""speed"":""43.6 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""11 : 14"",""speed"":""64.2 km/h"",""res"":""Punkt: P. Lins""},{""type"":""rally"",""score"":""11 : 13"",""speed"":""-"",""res"":""Błąd: J. Rawski""},{""type"":""rally"",""score"":""10 : 13"",""speed"":""56.8 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""tmo"",""score"":""10 : 12"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""10 : 12"",""speed"":""61.5 km/h"",""res"":""Punkt: P. Lins""},{""type"":""rally"",""score"":""10 : 11"",""speed"":""64.0 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""10 : 10"",""speed"":""52.5 km/h"",""res"":""Punkt: D. Geraci""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""53.3 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""rally"",""score"":""9 : 9"",""speed"":""56.6 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""9 : 8"",""speed"":""67.9 km/h"",""res"":""Punkt: F. Riley""},{""type"":""tmo"",""score"":""8 : 8"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""63.9 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""46.3 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""8 : 6"",""speed"":""63.7 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""tmo"",""score"":""8 : 5"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 5"",""speed"":""52.2 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""7 : 5"",""speed"":""59.2 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""7 : 4"",""speed"":""59.0 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""6 : 4"",""speed"":""77.0 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""tmo"",""score"":""6 : 3"",""txt"":""Czas dla: Stocznia Gdańsk ""},{""type"":""rally"",""score"":""6 : 3"",""speed"":""82.1 km/h"",""res"":""Punkt: F. Cordalis""},{""type"":""rally"",""score"":""5 : 3"",""speed"":""65.7 km/h"",""res"":""Błąd: F. Wygoda""},{""type"":""rally"",""score"":""4 : 3"",""speed"":""-"",""res"":""Błąd: M. Nowak""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""56.8 km/h"",""res"":""Błąd: I. Szalewicz""},{""type"":""rally"",""score"":""3 : 2"",""speed"":""59.9 km/h"",""res"":""Punkt: D. Geraci""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""58.3 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""51.4 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""53.2 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""55.5 km/h"",""res"":""Błąd: M. Nowak""}]},{""rallies"":[{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""9 : 25"",""speed"":""70.4 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""9 : 24"",""speed"":""55.0 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""9 : 23"",""speed"":""-"",""res"":""Błąd: J. Sontowski""},{""type"":""rally"",""score"":""9 : 22"",""speed"":""51.6 km/h"",""res"":""Punkt: F. Cordalis""},{""type"":""rally"",""score"":""8 : 22"",""speed"":""48.5 km/h"",""res"":""Punkt: P. Lins""},{""type"":""rally"",""score"":""8 : 21"",""speed"":""51.1 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""8 : 20"",""speed"":""49.7 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""7 : 20"",""speed"":""57.9 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""rally"",""score"":""6 : 20"",""speed"":""56.5 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""6 : 19"",""speed"":""51.7 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""rally"",""score"":""5 : 19"",""speed"":""57.3 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""5 : 18"",""speed"":""47.9 km/h"",""res"":""Punkt: D. Ronchetti""},{""type"":""rally"",""score"":""5 : 17"",""speed"":""50.8 km/h"",""res"":""Punkt: D. Niewolski""},{""type"":""rally"",""score"":""4 : 17"",""speed"":""51.7 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""tmo"",""score"":""4 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""4 : 16"",""speed"":""46.3 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""4 : 15"",""speed"":""54.5 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""4 : 14"",""speed"":""48.7 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""tmo"",""score"":""4 : 13"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""4 : 13"",""speed"":""50.8 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""4 : 12"",""speed"":""48.7 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""4 : 11"",""speed"":""64.4 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""chg"",""score"":""4 : 10"",""txt"":""Zmiana: M. Nowak ⇄ M. Silvares""},{""type"":""rally"",""score"":""4 : 10"",""speed"":""52.4 km/h"",""res"":""Błąd: G. Marzec""},{""type"":""rally"",""score"":""3 : 10"",""speed"":""47.4 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""54.9 km/h"",""res"":""Punkt: M. Silvares""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""52.9 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""chg"",""score"":""1 : 9"",""txt"":""Zmiana: P. Gębala ⇄ R. Mazur""},{""type"":""chg"",""score"":""1 : 9"",""txt"":""Zmiana: J. Sontowski ⇄ M. Seta""},{""type"":""rally"",""score"":""1 : 9"",""speed"":""52.8 km/h"",""res"":""Punkt: D. Ronchetti""},{""type"":""tmo"",""score"":""1 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""1 : 8"",""speed"":""55.1 km/h"",""res"":""Punkt: M. Silvares""},{""type"":""rally"",""score"":""1 : 7"",""speed"":""53.6 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""0 : 7"",""speed"":""54.5 km/h"",""res"":""Błąd: M. Seta""},{""type"":""chg"",""score"":""0 : 6"",""txt"":""Zmiana: M. Silvares ⇄ M. Nowak""},{""type"":""tmo"",""score"":""0 : 6"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""0 : 6"",""speed"":""52.2 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""chg"",""score"":""0 : 5"",""txt"":""Zmiana: D. Ronchetti ⇄ D. Geraci""},{""type"":""rally"",""score"":""0 : 5"",""speed"":""59.2 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""0 : 4"",""speed"":""61.1 km/h"",""res"":""Błąd: F. Cordalis""},{""type"":""rally"",""score"":""0 : 3"",""speed"":""63.5 km/h"",""res"":""Błąd: I. Szalewicz""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""51.5 km/h"",""res"":""Punkt: D. Geraci""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: A. Ratajski ⇄ F. Wygoda""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Seta ⇄ J. Sontowski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: D. Niewolski ⇄ F. Riley""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""52.5 km/h"",""res"":""Punkt: M. Nowak""}]},{""rallies"":[{""type"":""end"",""score"":""20 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""20 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""20 : 25"",""speed"":""50.3 km/h"",""res"":""Punkt: D. Ronchetti""},{""type"":""rally"",""score"":""20 : 24"",""speed"":""51.5 km/h"",""res"":""Punkt: P. Lins""},{""type"":""rally"",""score"":""20 : 23"",""speed"":""56.3 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""19 : 23"",""speed"":""50.3 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""19 : 22"",""speed"":""51.5 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""18 : 22"",""speed"":""46.6 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""18 : 21"",""speed"":""66.6 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""rally"",""score"":""17 : 21"",""speed"":""56.9 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""rally"",""score"":""17 : 20"",""speed"":""56.8 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""tmo"",""score"":""16 : 20"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""16 : 20"",""speed"":""47.7 km/h"",""res"":""Błąd: J. Sontowski""},{""type"":""rally"",""score"":""16 : 19"",""speed"":""56.5 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""16 : 18"",""speed"":""48.6 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""15 : 18"",""speed"":""-"",""res"":""Błąd: F. Cordalis""},{""type"":""rally"",""score"":""15 : 17"",""speed"":""43.6 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""14 : 17"",""speed"":""52.6 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""tmo"",""score"":""14 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""14 : 16"",""speed"":""59.6 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""14 : 15"",""speed"":""52.5 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""13 : 15"",""speed"":""57.5 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""13 : 14"",""speed"":""64.8 km/h"",""res"":""Punkt: P. Lins""},{""type"":""rally"",""score"":""13 : 13"",""speed"":""57.7 km/h"",""res"":""Punkt: F. Cordalis""},{""type"":""rally"",""score"":""12 : 13"",""speed"":""-"",""res"":""Błąd: F. Wygoda""},{""type"":""rally"",""score"":""11 : 13"",""speed"":""57.2 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""11 : 12"",""speed"":""48.3 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""rally"",""score"":""10 : 12"",""speed"":""52.6 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""10 : 11"",""speed"":""59.9 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""rally"",""score"":""9 : 11"",""speed"":""60.7 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""rally"",""score"":""8 : 11"",""speed"":""51.3 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""tmo"",""score"":""7 : 11"",""txt"":""Czas dla: Stocznia Gdańsk ""},{""type"":""rally"",""score"":""7 : 11"",""speed"":""53.7 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""rally"",""score"":""6 : 11"",""speed"":""44.8 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""chg"",""score"":""5 : 11"",""txt"":""Zmiana: M. Nowak ⇄ M. Silvares""},{""type"":""rally"",""score"":""5 : 11"",""speed"":""55.7 km/h"",""res"":""Punkt: J. Sontowski""},{""type"":""rally"",""score"":""4 : 11"",""speed"":""51.8 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""4 : 10"",""speed"":""52.7 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""4 : 9"",""speed"":""-"",""res"":""Błąd: I. Szalewicz""},{""type"":""rally"",""score"":""4 : 8"",""speed"":""41.9 km/h"",""res"":""Punkt: I. Szalewicz""},{""type"":""tmo"",""score"":""3 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""3 : 8"",""speed"":""73.4 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""3 : 7"",""speed"":""50.7 km/h"",""res"":""Punkt: R. Mazur""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""54.5 km/h"",""res"":""Punkt: R. Brousek""},{""type"":""chg"",""score"":""1 : 7"",""txt"":""Zmiana: M. Silvares ⇄ M. Nowak""},{""type"":""rally"",""score"":""1 : 7"",""speed"":""49.8 km/h"",""res"":""Punkt: D. Ronchetti""},{""type"":""chg"",""score"":""1 : 6"",""txt"":""Zmiana: D. Ronchetti ⇄ D. Geraci""},{""type"":""tmo"",""score"":""1 : 6"",""txt"":""Czas dla: Linkin Park United""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""54.9 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""chg"",""score"":""1 : 5"",""txt"":""Zmiana: R. Brousek ⇄ M. Seta""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""55.0 km/h"",""res"":""Punkt: D. Geraci""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""46.8 km/h"",""res"":""Punkt: G. Marzec""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""54.0 km/h"",""res"":""Punkt: M. Nowak""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""-"",""res"":""Błąd: J. Rawski""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""53.2 km/h"",""res"":""Punkt: J. Rawski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Seta ⇄ R. Brousek""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""63.5 km/h"",""res"":""Punkt: M. Nowak""}]}]}","2","2","0","3","0","0","24","35","1","0","22","0","0","2","69.8","57.6","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","19","1","2","25","70","0","0","0","0","0","3","0","2","0","1","0","2","0","2","0","0","0","3","33","1","31","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Sontowski, Jan","1864744","7","-4","9","1","0","64.2","29","10","6","21","-14","15","8","4","7","3","47","8","0","100","2","25","1","20","50","0","0","0","0","0","0","0","4.6","","2","4","0","2","1","1","20","50","0","0","17","1","0","3","64.2","57.5","0","0","3","0","0","3","0","0","5","0","1","6","5","0","1","0","10","16","0","0","0","0","0","0","1","1","0","0","2","4","0","0","0","0","0","0","2","2","4","0","8","4","0","2","0","2","0","3","0","2","0","1","0","3","17","10","16","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Cordalis, Fragiskos","1929292","4","1","8","1","1","77","5","2","1","20","-20","6","2","0","4","1","17","0","0","0","0","0","2","26","47","0","0","1","0","0","0","1","7.4","","0","0","0","3","1","1","26","47","2","0","26","0","0","0","82.1","68.1","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","6","5","5","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Szalewicz, Igor","1928690","16","-1","6","1","0","64.4","41","16","16","39","0","24","17","3","7","1","17","0","0","0","0","0","0","28","46","0","0","0","0","0","0","0","9.8","","1","1","0","6","0","0","28","46","0","0","27","0","0","1","64.4","56.5","0","0","1","0","1","2","2","1","5","2","0","10","9","1","7","1","2","20","0","0","0","0","0","0","2","0","1","0","6","9","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","1","1","0","0","0","0","3","18","20","22","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Brousek, Rudolf","1865745","11","8","11","0","0","63.7","18","2","9","50","39","14","10","8","4","0","57","39","1","97","11","28","2","27","41","0","0","0","0","0","0","0","52.8","","0","0","0","4","0","0","27","41","2","0","25","0","0","2","63.7","53.7","4","0","0","0","0","4","0","0","0","0","0","0","4","0","2","0","5","11","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","9","11","9","9","38","8","2","4","0","1","1","0","0","0","0","0","0","3","23","18","24","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Mazur, Roman","1725251","8","8","4","0","0","57.2","3","0","0","0","0","2","1","0","1","1","50","0","0","0","0","0","8","27","33","0","0","0","0","0","0","0","24.4","","0","0","0","0","1","1","27","33","6","1","24","2","0","3","57.2","53.8","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","7","0","7","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Chudy, Dawid","1685776","0","-1","0","0","0","0","0","0","0","0","0","30","18","10","12","7","57","16","1","94","4","25","0","0","0","0","4","5","0","0","3","2","16.4","","6","6","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","5","1","5","6","3","15","10","4","4","0","2","0","7","3","1","0","3","0","3","12","14","13","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Niewolski, Dariusz","1974590","1","1","2","0","0","51.1","0","0","0","0","0","5","1","0","4","1","20","0","0","0","0","0","1","5","15","6","7","32","5","7","11","9","3.4","","0","1","1","3","0","0","5","15","1","0","5","0","0","0","51.1","50.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","1","3","15","32","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","27","0","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Gębala, Piotr","1744939","0","-1","1","0","0","56.5","6","1","0","0","-17","0","0","0","0","0","0","0","0","0","0","0","0","9","16","0","0","0","0","0","0","0","-1.5","","0","0","0","0","0","0","9","16","0","0","8","0","0","1","56.5","56.5","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.7","Linkin Park United vs Stocznia Gdańsk 0:3","924145","2026-02-28 17:00","Meteora Arena","Linkin Park United","130617","Seta, Mateusz","1709541","0","-5","1","0","0","55.1","6","4","0","0","-67","0","0","0","0","0","0","6","1","83","1","17","0","2","5","0","0","0","0","0","0","0","-5.6","","0","0","0","0","0","0","2","5","0","0","2","0","0","0","55.1","55.1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","2","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","3","1","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","6","3","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
